query,library,term,p_value,adj_p_value,n_genes,genes
UBR3wt (50),InterPro_Domains_2019,UMA domain,0.012438777192772534,0.0373163315783176,1,MVB12A
UBR3wt (50),InterPro_Domains_2019,"Groucho/TLE, N-terminal Q-rich domain",0.012438777192772534,0.0373163315783176,1,TLE4
UBR3wt (50),InterPro_Domains_2019,MABP domain,0.012438777192772534,0.0373163315783176,1,MVB12A
UBR3wt (50),InterPro_Domains_2019,BRK domain,0.014908284799373634,0.039852818621239655,1,CHD7
UBR3wt (50),InterPro_Domains_2019,LEM domain,0.017371741450283952,0.039852818621239655,1,TMPO
UBR3wt (50),InterPro_Domains_2019,"Zinc finger, UBR-type",0.017371741450283952,0.039852818621239655,1,UBR3
UBR3wt (50),InterPro_Domains_2019,La-type HTH domain,0.017371741450283952,0.039852818621239655,1,LARP1B
UBR3wt (50),InterPro_Domains_2019,Ubiquitin system component CUE,0.02472594881725805,0.05357288910405911,1,TAB2
UBR3wt (50),InterPro_Domains_2019,"Zinc finger, CXXC-type",0.027165344857992397,0.055760444708510715,1,TET1
UBR3wt (50),InterPro_Domains_2019,"Myc-type, basic helix-loop-helix (bHLH) domain",0.03302953017935412,0.06440758384974053,2,NCOA1;NCOA2
UBR3wt (50),InterPro_Domains_2019,OTU domain,0.03686327859360632,0.06846037453098318,1,OTUD4
UBR3wt (50),InterPro_Domains_2019,"Importin-beta, N-terminal domain",0.04167665479123348,0.07388134258445936,1,TNPO1
UBR3wt (50),InterPro_Domains_2019,Extended PHD (ePHD) domain,0.05360719859925478,0.09089916284221462,1,RAI1
UBR3wt (50),InterPro_Domains_2019,"Zinc finger, RanBP2-type",0.06069552982417541,0.09835289092830792,1,TAB2
UBR3wt (50),InterPro_Domains_2019,Chromo domain,0.06304672495404354,0.09835289092830792,1,CHD7
UBR3wt (50),Jensen_COMPARTMENTS,NURF complex,6.0956786529959696e-05,0.020664350633656337,2,SMARCA5;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,ISWI-type complex,0.00021804660985203623,0.026665179548817787,2,SMARCA5;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Isw1b complex,0.00039784050239185316,0.026665179548817787,2,SMARCA5;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Brahma complex,0.0004015254683124459,0.026665179548817787,4,KHDRBS1;SMARCA5;BANF1;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,PBAF complex,0.000455062391672894,0.026665179548817787,3,CHD7;BANF1;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Omega speckle,0.0005467878206419364,0.026665179548817787,2,SMARCA5;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Transcriptional preinitiation complex,0.0005859405361831292,0.026665179548817787,5,NCOA1;NCOA2;SMARCA5;EIF3G;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,WICH complex,0.0006292667740133991,0.026665179548817787,3,SMARCA5;BANF1;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Isw1a complex,0.0014985033958486917,0.05644362791030072,2,SMARCA5;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Epsilon DNA polymerase complex,0.002062430760327193,0.06991640277509184,3,SMARCA5;SMARCA1;POLE
UBR3wt (50),Jensen_COMPARTMENTS,Apolipoprotein B mRNA editing enzyme complex,0.0025619933727431465,0.07895597757817514,3,COL14A1;TET1;POLE
UBR3wt (50),Jensen_COMPARTMENTS,ACF complex,0.003077847146316263,0.08562929688431876,2,SMARCA5;SMARCA1
UBR3wt (50),Jensen_COMPARTMENTS,Nuclear periphery,0.0032837193495461473,0.08562929688431876,3,BLM;PSPC1;TNPO1
UBR3wt (50),Pfam_Domains_2019,PAS,0.0010193089566942573,0.010036920207072144,2,NCOA1;NCOA2
UBR3wt (50),Pfam_Domains_2019,RRM 1,0.001738049710997148,0.010036920207072144,4,TNRC6C;PSPC1;EIF3G;CSTF2T
UBR3wt (50),Pfam_Domains_2019,UBA,0.0017712212130127313,0.010036920207072144,2,TNRC6C;TDRD3
UBR3wt (50),Pfam_Domains_2019,BRK,0.012438777192772534,0.049219934109137865,1,CHD7
UBR3wt (50),Pfam_Domains_2019,LEM,0.017371741450283952,0.049219934109137865,1,TMPO
UBR3wt (50),Pfam_Domains_2019,La,0.017371741450283952,0.049219934109137865,1,LARP1B
UBR3wt (50),Pfam_Domains_2019,zf-CXXC,0.027165344857992397,0.0659729803694101,1,TET1
UBR3wt (50),Pfam_Domains_2019,TUDOR,0.034447714169871156,0.0732013926109762,1,TDRD3
UBR3wt (50),WikiPathway_2023_Human,Nucleotide Excision Repair In Xeroderma Pigmentosum WP5114,0.0008746267241459595,0.045532803442521516,3,H2AC6;H4C1;POLE
UBR3wt (50),WikiPathway_2023_Human,Constitutive Androstane Receptor Pathway WP2875,0.0027192556482504363,0.045532803442521516,2,NCOA1;NCOA2
UBR3wt (50),WikiPathway_2023_Human,Pregnane X Receptor Pathway WP2876,0.0028959211173454295,0.045532803442521516,2,NCOA1;NCOA2
