gene,WT_293T_q,WT_293T_d,RING_293T_q,RING_293T_d,RING_WT_p,RING_WT_q,RING_WT_d,RING_vs_WT_class
TNRC6C,0.0342033026107452,5.22636477152506,0.738945427251781,-0.882135391235352,0.00108976688573672,0.0168522295950986,-6.10850016276041,WT-preferring (RING-dependent binding)
TMPO,0.00790481772702275,6.7105229695638,0.738945427251781,0.916383743286133,0.00517102584794961,0.0510609816914127,-5.79413922627767,WT-preferring (RING-dependent binding)
NCOA2,0.0147571071738443,3.38048299153646,0.573340558464114,-2.29644330342611,0.00244811908068285,0.0313416175329281,-5.67692629496257,WT-preferring (RING-dependent binding)
LARP1B,0.0140698551140717,7.48213068644206,0.738945427251781,1.89164034525554,0.0503107083185579,0.227016761716116,-5.59049034118652,WT-preferring (RING-dependent binding)
UBAP2,0.00581368187162128,1.9598445892334,0.342544333929564,-3.6173407236735,0.00305462538943021,0.0363836689255138,-5.5771853129069,WT-preferring (RING-dependent binding)
MVB12A,0.0166012385170057,5.03583590189616,,0.0,0.000582230792474588,0.0105087885658118,-5.03583590189616,WT-preferring (RING-dependent binding)
NCOA1,0.0275363819198828,1.94080988566081,0.738945427251781,-2.7915636698405,0.136425989930493,0.342933824003362,-4.7323735555013,WT-preferring (RING-dependent binding)
H3C1,0.00486136523080729,4.26471265157064,0.738945427251781,-0.170684814453125,3.88622323036651e-05,0.00152811849165483,-4.43539746602376,WT-preferring (RING-dependent binding)
TNRC6B,0.0494192471888898,3.36459159851075,0.738945427251781,-1.00435447692871,0.00629215942180148,0.0589588725396036,-4.36894607543946,WT-preferring (RING-dependent binding)
CCHCR1,0.0133125507406319,4.2830499013265,,0.0,0.000399315089128322,0.00823423143864672,-4.2830499013265,WT-preferring (RING-dependent binding)
TNPO1,0.0134254484634336,7.17687543233236,0.670121496958783,3.06668790181478,0.0772759290218607,0.286054652149661,-4.11018753051758,WT-preferring (RING-dependent binding)
H4C1,0.00260250308383997,3.93957010904948,0.928154777397913,-0.0584615071614607,8.79616931289363e-05,0.00253942130901783,-3.99803161621094,WT-preferring (RING-dependent binding)
N4BP2L2,0.0100353371967442,7.56002998352051,0.670121496958783,4.11879475911458,0.191210451242831,0.413600602786555,-3.44123522440593,WT-preferring (RING-dependent binding)
PSPC1,0.0144841306460209,3.20085652669271,0.875934895848187,-0.139948527018227,0.000550105053941622,0.0101792548636929,-3.34080505371094,WT-preferring (RING-dependent binding)
H2AC18,0.0180977308602552,2.77331352233887,0.72115601192284,-0.435015996297199,0.000390011980962019,0.00820683593040356,-3.20832951863607,WT-preferring (RING-dependent binding)
UBAP2L,0.0259614716660877,1.82997767130534,0.011597557695491,-1.35624694824219,0.00013324206690255,0.00349284561094543,-3.18622461954753,WT-preferring (RING-dependent binding)
GIGYF2,0.0170680153539315,3.07853190104167,0.853204455697907,0.158388773600262,0.00139811419612335,0.0197349196145104,-2.92014312744141,WT-preferring (RING-dependent binding)
FRG1,0.00581368187162128,6.78778648376465,0.670121496958783,3.91252263387044,0.231946399656859,0.469461093546828,-2.87526384989421,WT-preferring (RING-dependent binding)
H2BC13,0.00685616379091991,2.40391095479329,0.738945427251781,-0.430906931559246,0.00318585753331598,0.0376908071084767,-2.83481788635254,WT-preferring (RING-dependent binding)
EIF3G,0.00685616379091991,6.07990455627441,0.734736458926867,3.26189613342285,0.255438304403923,0.500820087015055,-2.81800842285156,WT-preferring (RING-dependent binding)
KHDRBS1,0.0164273525824118,2.6049690246582,0.915900305692692,0.0923042297363281,0.00132124072125163,0.0188920264168577,-2.51266479492187,WT-preferring (RING-dependent binding)
CSTF2T,0.0170701072784166,3.71161206563314,0.537216862144035,1.26599311828613,0.00120162923267587,0.0178782943942721,-2.445618947347,WT-preferring (RING-dependent binding)
UFD1,0.00790481772702275,5.76611518859863,0.670121496958783,3.4264767964681,0.257679144773938,0.503022585808699,-2.33963839213054,WT-preferring (RING-dependent binding)
LRCH3,0.0033175599104834,7.48434003194173,0.00104877675814559,5.82225227355957,0.018975293658821,0.126998149737949,-1.66208775838216,WT-preferring (RING-dependent binding)
MPG,0.532017712766384,2.65981992085775,0.0413247667530517,1.92050298055013,0.704145949284632,0.81264642574673,-0.739316940307617,shared / RING-independent
UBR3,0.00995696094239119,17.1552797953288,0.0144049288785535,16.8361498514811,0.536021996071858,0.683847297421919,-0.319129943847656,shared / RING-independent
FANCI,0.0718461138663307,6.26972579956055,0.00126262285243735,6.0652281443278,0.859152999349745,0.926471549739539,-0.204497655232746,shared / RING-independent
STT3A,0.054266653929774,5.86853535970052,0.0210298057790528,5.76128069559733,0.921708328892488,0.962809174678017,-0.107254664103188,shared / RING-independent
COL14A1,0.0040508114162067,9.0170300801595,0.00126262285243735,9.41751352945964,0.547123281746183,0.693190717149076,0.400483449300133,shared / RING-independent
GCFC2,0.00357565655192846,4.69440460205078,0.0270642090374914,5.31540552775065,0.349619841485288,0.546337045648834,0.621000925699871,shared / RING-independent
POLE,0.0030087284114312,5.39824930826823,0.00599141290937627,6.47791290283203,0.0889975472700864,0.314058652385786,1.0796635945638,RING-preferring (candidate trapped substrate)
RPTOR,0.416249238117311,4.11424891153971,0.00126262285243735,6.31696192423503,0.371283988611574,0.546337045648834,2.20271301269531,RING-preferring (candidate trapped substrate)
BAG6,0.201356545170596,1.64840952555338,0.00881632237872064,4.1137154897054,0.00286548320059421,0.0346691978445519,2.46530596415202,RING-preferring (candidate trapped substrate)
MAGED2,0.131167739191882,1.76388549804688,0.024831243497062,4.25818824768066,0.000504415088474035,0.00965845238973761,2.49430274963379,RING-preferring (candidate trapped substrate)
FANCB,0.425998143545077,3.03072039286296,0.0445337736832723,5.65686289469401,0.215980341978578,0.44665299238605,2.62614250183105,RING-preferring (candidate trapped substrate)
NCAPG2,0.414815089012038,2.9038028717041,0.00470118196322301,6.58627764383952,0.0695579840668255,0.268242873756829,3.68247477213542,RING-preferring (candidate trapped substrate)
CDC23,,0.0,0.00599141290937627,3.9258721669515,6.89018061280492e-05,0.00210724690408284,3.9258721669515,RING-preferring (candidate trapped substrate)
KNTC1,0.625300841646908,2.09193166097005,0.0166024516994717,6.17146237691243,0.157852690085758,0.366416123086145,4.07953071594238,RING-preferring (candidate trapped substrate)
AP1G2,,0.0,0.00255324838572354,4.13409741719564,1.64734368044138e-05,0.00101284800192884,4.13409741719564,RING-preferring (candidate trapped substrate)
GTF3C5,0.5919235486389,2.06338755289714,0.0413235865850528,6.66926002502441,0.103754848798927,0.329735407436713,4.60587247212728,RING-preferring (candidate trapped substrate)
ELP6,,0.0,0.00804101892290696,4.75088055928548,0.000110000258863296,0.00306608316477188,4.75088055928548,RING-preferring (candidate trapped substrate)
NDUFB10,,0.0,0.00599141290937627,4.98880132039388,7.69291694388065e-05,0.00225864041472336,4.98880132039388,RING-preferring (candidate trapped substrate)
TBCD,0.5919235486389,2.26684697469075,0.00385639849862443,7.29264259338379,0.0557731710647876,0.239670028171017,5.02579561869304,RING-preferring (candidate trapped substrate)
FTSJ3,0.000539507160972721,2.44136301676432,0.000385504010289235,7.51713180541992,2.69990095423663e-06,0.000329896530921501,5.0757687886556,RING-preferring (candidate trapped substrate)
THOC3,,0.0,0.00599141290937627,5.20752716064453,7.12544860008548e-05,0.00214934764621756,5.20752716064453,RING-preferring (candidate trapped substrate)
HAUS5,,0.0,0.00255324838572354,5.32100613911946,1.59957012498917e-05,0.00101284800192884,5.32100613911946,RING-preferring (candidate trapped substrate)
PPIL3,,0.0,0.00255324838572354,5.44989967346191,1.78914153073055e-05,0.00101284800192884,5.44989967346191,RING-preferring (candidate trapped substrate)
BRAT1,,0.0,0.00287692672379725,5.95137659708659,2.36136256399227e-05,0.00115549341464689,5.95137659708659,RING-preferring (candidate trapped substrate)
PLEKHG4,,0.0,0.00126262285243735,6.11772346496582,5.02627633638097e-06,0.000471448660706164,6.11772346496582,RING-preferring (candidate trapped substrate)
AAAS,,0.0,0.00599141290937627,6.29112370808919,7.55325365567241e-05,0.00224760331753928,6.29112370808919,RING-preferring (candidate trapped substrate)
CEP78,,0.0,0.000636817143243594,6.69783020019531,1.1615451769149e-06,0.000255772247956661,6.69783020019531,RING-preferring (candidate trapped substrate)
CDC45,,0.0,0.000613770560174019,6.81953048706055,8.39631409266783e-07,0.000250936141759772,6.81953048706055,RING-preferring (candidate trapped substrate)
RYR2,,0.0,0.00126262285243735,6.90787315368652,3.46823729878001e-06,0.000371654762111243,6.90787315368652,RING-preferring (candidate trapped substrate)
RNPS1,,0.0,0.00191326877625754,6.97799682617188,1.04693229890973e-05,0.000847064137602299,6.97799682617188,RING-preferring (candidate trapped substrate)
SDF2L1,,0.0,0.0037401802660965,7.08701642354329,3.41101711454309e-05,0.00141718107287243,7.08701642354329,RING-preferring (candidate trapped substrate)
SART1,,0.0,0.0318259019179669,7.22684033711751,0.000653062282858419,0.0112347120847987,7.22684033711751,RING-preferring (candidate trapped substrate)
HOOK1,,0.0,0.00255324838572354,7.24286270141602,1.8954731975564e-05,0.0010434579952548,7.24286270141602,RING-preferring (candidate trapped substrate)
POLR3A,,0.0,0.0110436575434481,7.52028020222982,0.000166183629244773,0.00420616496088494,7.52028020222982,RING-preferring (candidate trapped substrate)
BAG2,,0.0,0.000385504010289235,7.94860013326009,3.51576844769025e-07,0.000160254617455765,7.94860013326009,RING-preferring (candidate trapped substrate)
TSC2,,0.0,0.0087400108705164,8.75269444783529,0.000123547805283178,0.00331771057601899,8.75269444783529,RING-preferring (candidate trapped substrate)
TELO2,,0.0,0.00321873992018671,8.86068026224772,2.78869395729811e-05,0.00125320491713682,8.86068026224772,RING-preferring (candidate trapped substrate)
