gene,degradomics_gene,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio
FRG1,FRG1,1.0209882910127661,0.9790117089872339,0.8930256898563913,0.8739682900962346,0.810214142576991,0.7855674641225803,0.8349387687672867,0.8271194601943616
GPHN,GPHN,1.0119067481628676,0.9880932518371324,0.9684540666962809,0.9600747584136787,0.9593196617470273,0.9761024487882545,0.9623370970269003,0.9816532054726569
TMPO,TMPO,1.014083081028909,0.985916918971091,0.9840015960816364,0.9660717383410635,0.9161934486694986,0.8754865067455934,0.8533561189130905,0.8806162080193813
RBM6,RBM6,0.9909737332788351,1.0090262667211651,1.0014105045316124,0.9723224106829633,0.9229617442251878,0.9573085194467745,0.9171215398463295,0.9288522694794002
EIF3G,EIF3G,1.0413758304560803,0.9586241695439197,1.0184826242962728,1.0366391563535475,1.0796435663474349,1.0586273833669277,1.132085185414419,1.1554483886029698
UFD1,UFD1,1.0025431452409619,0.9974568547590382,0.8160571319742758,0.7525040739298722,0.6585819969029588,0.6489286543654904,0.5381765073687966,0.5036005355508127
POLE,POLE,1.0202641858530344,0.9797358141469655,0.6659178361914342,0.6145013727974052,0.5689851281709553,0.5356304210441606,0.46987554082084726,0.47881623933556927
MVB12A,MVB12A,0.931595943798167,1.0684040562018329,0.8842087072647797,0.7643768411114569,0.6857896132983782,0.7282243491110201,0.6800260804787955,0.6937345213118827
GCFC2,GCFC2,1.004377432798167,0.9956225672018332,1.0257189205743802,0.9891696082019599,1.0126942127220102,0.9665159002937189,1.002303162953237,1.0251575938665682
CCHCR1,CCHCR1,1.0179364935547102,0.9820635064452898,0.38423511560897666,0.3594379265299948,0.28372201200519903,0.2976992235229796,0.2254884557975614,0.25184462446553724
H4C1,HIST1H4A,1.0300353439139063,0.9699646560860937,1.0383541061255395,1.0523100714049116,0.7811634995627414,1.1316728312511157,1.1886328840246179,1.201378621644721
CSTF2T,CSTF2T,0.9949562699818827,1.0050437300181174,0.9509505940379321,0.9492284065998107,0.8774297422279286,0.8954318652763441,0.89940379598785,0.9138374079179941
NCOA2,NCOA2,1.0152154200662824,0.9847845799337174,0.8832961437000998,0.857958639867214,0.7656457522027943,0.7991256297540221,0.7456405490947681,0.7454141926098684
TNRC6B,TNRC6B,0.9889845067514753,1.0110154932485247,0.9065951528933067,0.9058830797578352,0.8623522292156214,0.8641600580259282,0.8076139868087644,0.8508483887661922
PSPC1,PSPC1,0.980106135409143,1.019893864590857,0.8934068486286688,0.9224709211555338,0.803606546504186,0.8364095711212436,0.7869491709448035,0.7593119095507203
GIGYF2,GIGYF2,0.99334300087107,1.00665699912893,1.030645768360073,0.9881170698442587,1.0515586282063487,0.9705561629692442,0.9338766681206949,0.9376171465349555
H2AC18,HIST2H2AA3,1.0326473334296924,0.9673526665703076,0.7841384657881297,0.6616587200429098,0.5513197524514019,0.5734878192897487,0.4632455184525422,0.4406829254546356
KHDRBS1,KHDRBS1,1.0050175790763034,0.9949824209236965,0.9376542893170129,0.916820107835125,0.8494494090477185,0.821203792081661,0.8138678023131438,0.6898796246962186
FTSJ3,FTSJ3,1.0199025419600192,0.9800974580399808,1.0913549986012199,1.0875550626032051,1.1407744144045997,1.137512089517978,1.144911941729214,1.0836958140645896
H2BC13,HIST1H2BN,1.0134807344580847,0.9865192655419153,0.9646938832643149,0.9433191107483617,0.8409929518946988,0.9244140869710537,0.9227262835436443,0.8856875283241045
UBAP2,UBAP2,0.9748796423474555,1.0251203576525445,0.9871498612651138,1.0095686889071729,0.9924318242797175,1.0010860379486315,0.9280001589372203,0.961858103958487
NCOA1,NCOA1,1.0331367532051325,0.9668632467948675,0.8829968358252063,0.7457947882887267,0.780717957719492,0.6849039390681422,0.7930070160238634,0.6749159696291135
UBAP2L,UBAP2L,1.023277374710819,0.9767226252891812,0.9052395790735388,0.9057050068516865,0.9316616212041462,0.8454778303677254,0.8651053636471646,0.8543107394547771
