source,term_id,term_name,p_value,term_size,query_size,intersection_size,precision,recall,neg_log10_p,genes,n_genes,specific,survives_without_histones,histone_driven,module,module_label
REAC,REAC:R-HSA-1912408,Pre-NOTCH Transcription and Translation,0.022536269182820767,92,27,4,0.14814814814814814,0.043478260869565216,1.6471179785925927,H2AC6;TNRC6C;TNRC6B;H2BC13,4,True,False,True,1,cytoplasmic ribonucleoprotein granule
GO:MF,GO:0140750,nucleosome array spacer activity,0.02366793502607202,5,45,2,0.044444444444444446,0.4,1.6258396316316794,SMARCA5;SMARCA1,2,True,True,False,2,CERF complex
GO:CC,GO:0000228,nuclear chromosome,0.024779355304528506,234,45,5,0.1111111111111111,0.021367521367521368,1.605909997045025,SMARCA5;BLM;TET1;MACROH2A1;POLE,5,True,False,True,2,CERF complex
REAC,REAC:R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,0.025548817696025,95,27,4,0.14814814814814814,0.042105263157894736,1.5926291925927827,H2AC6;TNRC6C;TNRC6B;H2BC13,4,True,False,True,1,cytoplasmic ribonucleoprotein granule
GO:MF,GO:0003723,RNA binding,0.026969148291913592,3099,45,18,0.4,0.005808325266214908,1.569132768710728,TDRD3;DCP1A;COL14A1;OTUD4;LARP1B;TNPO1;FRG1;RBM6;EIF3G;TNRC6C;CSTF2T;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;UBAP2;UBAP2L,18,False,True,False,0,(broad term - not clustered)
REAC,REAC:R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.029103656587006577,36,27,3,0.1111111111111111,0.08333333333333333,1.5360524427737186,TNRC6C;TNRC6B;NCOA1,3,True,True,False,1,cytoplasmic ribonucleoprotein granule
GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.03379356290693602,14817,45,41,0.9111111111111111,0.002767091853951542,1.4711660174808243,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,41,False,False,True,0,(broad term - not clustered)
GO:MF,GO:0140751,histone octamer slider activity,0.03545155650334508,6,45,2,0.044444444444444446,0.3333333333333333,1.4503646923293174,SMARCA5;SMARCA1,2,True,True,False,2,CERF complex
GO:MF,GO:0030527,structural constituent of chromatin,0.03667795110371758,101,45,4,0.08888888888888889,0.039603960396039604,1.4355949327948894,H3-7;H2AC6;MACROH2A1;H2BC13,4,True,False,True,3,Systemic lupus erythematosus
REAC,REAC:R-HSA-195721,Signaling by WNT,0.037041023294232325,327,27,6,0.2222222222222222,0.01834862385321101,1.4313170240176474,BCL9;H2AC6;TLE4;TNRC6C;TNRC6B;H2BC13,6,True,False,True,1,cytoplasmic ribonucleoprotein granule
GO:CC,GO:0000786,nucleosome,0.037841728635095016,136,45,4,0.08888888888888889,0.029411764705882353,1.4220290329590488,H3-7;H2AC6;MACROH2A1;H2BC13,4,True,False,True,3,Systemic lupus erythematosus
REAC,REAC:R-HSA-73894,DNA Repair,0.03830528266641983,329,27,6,0.2222222222222222,0.0182370820668693,1.4167413285204054,SMARCA5;BLM;H2AC6;UFD1;POLE;H2BC13,6,True,False,True,2,CERF complex
REAC,REAC:R-HSA-426496,Post-transcriptional silencing by small RNAs,0.039638478226379587,7,27,2,0.07407407407407407,0.2857142857142857,1.401883027006446,TNRC6C;TNRC6B,2,True,True,False,1,cytoplasmic ribonucleoprotein granule
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,0.039652689447441186,3954,42,20,0.47619047619047616,0.005058168942842691,1.401727351282773,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;SMARCA1;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;NCOA1,20,False,True,False,0,(broad term - not clustered)
REAC,REAC:R-HSA-1912422,Pre-NOTCH Expression and Processing,0.042086262680089,108,27,4,0.14814814814814814,0.037037037037037035,1.3758596385066462,H2AC6;TNRC6C;TNRC6B;H2BC13,4,True,False,True,1,cytoplasmic ribonucleoprotein granule
GO:BP,GO:0010468,regulation of gene expression,0.04707596848838211,5549,42,24,0.5714285714285714,0.004325103622274284,1.327200736529916,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;BANF1;H2AC6;SMARCA1;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;UBAP2;NCOA1,24,False,False,True,0,(broad term - not clustered)
GO:BP,GO:0043488,regulation of mRNA stability,0.04817022105591678,176,42,5,0.11904761904761904,0.028409090909090908,1.3172213606786205,DCP1A;LARP1B;TNRC6C;TNRC6B;GIGYF2,5,True,True,False,1,cytoplasmic ribonucleoprotein granule
CORUM,CORUM:2728,SRC-1 complex,0.049652489207577824,3,19,2,0.10526315789473684,0.6666666666666666,1.3040589743183078,NCOA2;NCOA1,2,True,True,False,1,cytoplasmic ribonucleoprotein granule
CORUM,CORUM:6147,BAFL-BAF-LAP2beta complex,0.049652489207577824,3,19,2,0.10526315789473684,0.6666666666666666,1.3040589743183078,BANF1;TMPO,2,True,True,False,4,BAFL-BAF-LAP2beta complex
