query,source,term_id,term_name,p_value,term_size,query_size,intersection_size
union (82),GO:CC,GO:0043226,organelle,0.005121357114725043,16993,77,73
union (82),GO:CC,GO:0010494,cytoplasmic stress granule,0.005963707437805807,96,77,5
union (82),GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.013146214448485453,14817,77,67
union (82),GO:CC,GO:0090537,CERF complex,0.020004111246349585,4,77,2
union (82),GO:CC,GO:0000785,chromatin,0.02462824782792749,1409,77,15
union (82),GO:CC,GO:0140513,nuclear protein-containing complex,0.028611812574459394,2725,77,22
union (82),GO:MF,GO:0005515,protein binding,2.484772920725594e-06,15082,77,76
union (82),GO:MF,GO:0003676,nucleic acid binding,4.4202608522777084e-05,5437,77,43
union (82),GO:MF,GO:0003682,chromatin binding,0.0016260693685949958,603,77,12
union (82),GO:MF,GO:0003677,DNA binding,0.008482188507545164,2540,77,24
union (82),GO:MF,GO:0060090,molecular adaptor activity,0.020383231191937873,1334,77,16
union (82),GO:MF,GO:0140097,"catalytic activity, acting on DNA",0.025932272151851964,248,77,7
union (82),GO:MF,GO:0140658,ATP-dependent chromatin remodeler activity,0.03364744885073947,20,77,3
union (82),KEGG,KEGG:03460,Fanconi anemia pathway,0.007784496572934486,54,39,4
union (82),REAC,REAC:R-HSA-1640170,Cell Cycle,0.0014902097934456483,680,55,14
union (82),REAC,REAC:R-HSA-69278,"Cell Cycle, Mitotic",0.004594861079087836,549,55,12
union (82),REAC,REAC:R-HSA-68886,M Phase,0.01012286636486072,407,55,10
union (82),REAC,REAC:R-HSA-73894,DNA Repair,0.011636576716410232,329,55,9
union (82),REAC,REAC:R-HSA-9018519,Estrogen-dependent gene expression,0.03155058331189528,147,55,6
