term_id,term_name,source,term_size,specific,module,module_label,survives_without_histones,WT_p,WT_genes_n,WT_genes,in_RING,RING_p,RING_genes,status
REAC:R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,REAC,36,True,1,cytoplasmic ribonucleoprotein granule,True,0.029103656587006577,3,TNRC6C;TNRC6B;NCOA1,False,,,WT-exclusive
GO:0043231,intracellular membrane-bounded organelle,GO:CC,14817,False,0,(broad term - not clustered),False,0.03379356290693602,41,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0140751,histone octamer slider activity,GO:MF,6,True,2,CERF complex,True,0.03545155650334508,2,SMARCA5;SMARCA1,False,,,WT-exclusive
GO:0030527,structural constituent of chromatin,GO:MF,101,True,3,Systemic lupus erythematosus,False,0.03667795110371758,4,H3-7;H2AC6;MACROH2A1;H2BC13,False,,,WT-exclusive
REAC:R-HSA-195721,Signaling by WNT,REAC,327,True,1,cytoplasmic ribonucleoprotein granule,False,0.037041023294232325,6,BCL9;H2AC6;TLE4;TNRC6C;TNRC6B;H2BC13,False,,,WT-exclusive
GO:0000786,nucleosome,GO:CC,136,True,3,Systemic lupus erythematosus,False,0.037841728635095016,4,H3-7;H2AC6;MACROH2A1;H2BC13,False,,,WT-exclusive
REAC:R-HSA-73894,DNA Repair,REAC,329,True,2,CERF complex,False,0.03830528266641983,6,SMARCA5;BLM;H2AC6;UFD1;POLE;H2BC13,False,,,WT-exclusive
REAC:R-HSA-426496,Post-transcriptional silencing by small RNAs,REAC,7,True,1,cytoplasmic ribonucleoprotein granule,True,0.039638478226379587,2,TNRC6C;TNRC6B,False,,,WT-exclusive
GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:BP,3954,False,0,(broad term - not clustered),True,0.039652689447441186,20,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;SMARCA1;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;NCOA1,False,,,WT-exclusive
REAC:R-HSA-1912422,Pre-NOTCH Expression and Processing,REAC,108,True,1,cytoplasmic ribonucleoprotein granule,False,0.042086262680089,4,H2AC6;TNRC6C;TNRC6B;H2BC13,False,,,WT-exclusive
GO:0010468,regulation of gene expression,GO:BP,5549,False,0,(broad term - not clustered),False,0.04707596848838211,24,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;BANF1;H2AC6;SMARCA1;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;UBAP2;NCOA1,False,,,WT-exclusive
GO:0043488,regulation of mRNA stability,GO:BP,176,True,1,cytoplasmic ribonucleoprotein granule,True,0.04817022105591678,5,DCP1A;LARP1B;TNRC6C;TNRC6B;GIGYF2,False,,,WT-exclusive
CORUM:2728,SRC-1 complex,CORUM,3,True,1,cytoplasmic ribonucleoprotein granule,True,0.049652489207577824,2,NCOA2;NCOA1,False,,,WT-exclusive
CORUM:6147,BAFL-BAF-LAP2beta complex,CORUM,3,True,4,BAFL-BAF-LAP2beta complex,True,0.049652489207577824,2,BANF1;TMPO,False,,,WT-exclusive
GO:0005654,nucleoplasm,GO:CC,4334,False,0,(broad term - not clustered),True,6.459474212743504e-07,27,CHD7;TDRD3;H3-7;SMARCA5;BCL9;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,True,0.0002532371777477074,TELO2;POLR3A;FTSJ3;SART1;RNPS1;CDC45;GTF3C5;NCAPG2;POLE;RPTOR;AAAS;FANCI;BRAT1;FANCB;PPIL3;GCFC2;THOC3;MAGED2;BAG6;CDC23;MPG,mutual WT+RING
GO:0031981,nuclear lumen,GO:CC,5622,False,0,(broad term - not clustered),True,0.0002062259311285276,27,CHD7;TDRD3;H3-7;SMARCA5;BCL9;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,True,0.01847104994554865,TELO2;POLR3A;FTSJ3;SART1;RNPS1;CDC45;GTF3C5;NCAPG2;POLE;RPTOR;AAAS;FANCI;BRAT1;FANCB;PPIL3;GCFC2;THOC3;MAGED2;BAG6;CDC23;MPG,mutual WT+RING
GO:0043233,organelle lumen,GO:CC,6791,False,0,(broad term - not clustered),True,0.0027193606756718393,28,CHD7;TDRD3;H3-7;SMARCA5;BCL9;COL14A1;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,True,0.02999541071860554,COL14A1;TELO2;POLR3A;FTSJ3;SART1;SDF2L1;RNPS1;CDC45;GTF3C5;NCAPG2;POLE;RPTOR;AAAS;FANCI;BRAT1;FANCB;PPIL3;GCFC2;THOC3;MAGED2;BAG6;CDC23;MPG,mutual WT+RING
GO:0070013,intracellular organelle lumen,GO:CC,6791,False,0,(broad term - not clustered),True,0.0027193606756718393,28,CHD7;TDRD3;H3-7;SMARCA5;BCL9;COL14A1;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,True,0.02999541071860554,COL14A1;TELO2;POLR3A;FTSJ3;SART1;SDF2L1;RNPS1;CDC45;GTF3C5;NCAPG2;POLE;RPTOR;AAAS;FANCI;BRAT1;FANCB;PPIL3;GCFC2;THOC3;MAGED2;BAG6;CDC23;MPG,mutual WT+RING
GO:0031974,membrane-enclosed lumen,GO:CC,6791,False,0,(broad term - not clustered),True,0.0027193606756718393,28,CHD7;TDRD3;H3-7;SMARCA5;BCL9;COL14A1;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,True,0.02999541071860554,COL14A1;TELO2;POLR3A;FTSJ3;SART1;SDF2L1;RNPS1;CDC45;GTF3C5;NCAPG2;POLE;RPTOR;AAAS;FANCI;BRAT1;FANCB;PPIL3;GCFC2;THOC3;MAGED2;BAG6;CDC23;MPG,mutual WT+RING
