query,library,term,p_value,adj_p_value,combined_score,n_genes,genes
UBR3ring (38),Reactome_2022,RNA Polymerase II Transcription Termination R-HSA-73856,0.007190437363052052,0.06163232025473187,83.9,2,THOC3;RNPS1
UBR3ring (38),Reactome_2022,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,0.007611311264141638,0.06299016218599977,80.5,2,HAUS5;CEP78
UBR3ring (38),Reactome_2022,AURKA Activation By TPX2 R-HSA-8854518,0.008263045380087023,0.06397196423293179,75.7,2,HAUS5;CEP78
UBR3ring (38),Reactome_2022,Base Excision Repair R-HSA-73884,0.008263045380087023,0.06397196423293179,75.7,2,MPG;POLE
UBR3ring (38),Reactome_2022,Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,0.010118819490448853,0.07105819631118472,65.1,2,HAUS5;CEP78
UBR3ring (38),Reactome_2022,TP53 Regulates Metabolic Genes R-HSA-5628897,0.01036265362871444,0.07105819631118472,63.9,2,RPTOR;TSC2
UBR3ring (38),Reactome_2022,Centrosome Maturation R-HSA-380287,0.01036265362871444,0.07105819631118472,63.9,2,HAUS5;CEP78
UBR3ring (38),Reactome_2022,Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,0.01036265362871444,0.07105819631118472,63.9,2,BAG2;AAAS
UBR3ring (38),Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,0.011879938367998267,0.07919958911998845,57.6,2,HAUS5;CEP78
UBR3ring (38),Reactome_2022,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,0.014610951444045167,0.0924230223924741,49.1,2,HAUS5;CEP78
UBR3ring (38),Reactome_2022,Cell Cycle Checkpoints R-HSA-69620,0.014633645212141732,0.0924230223924741,26.6,3,CDC23;CDC45;KNTC1
UBR3ring (38),Reactome_2022,DNA Replication Initiation R-HSA-68952,0.015101798500668919,0.09293414461950104,323.1,1,POLE
UBR3wt (50),CORUM,SRC-1 complex (human),3.66324956178569e-05,0.0020514197545999863,4245.0,2,NCOA1;NCOA2
UBR3wt (50),CORUM,OCT2-TLE4 complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,TLE4
UBR3wt (50),CORUM,SRA-SRC-1 ribonucleoprotein complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,NCOA1
UBR3wt (50),CORUM,Nucleolar remodeling complex (NoRC complex) (human),0.004993807445783005,0.01904395149596871,2157.6,1,SMARCA5
UBR3wt (50),CORUM,ASPP1-SAM68 complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,KHDRBS1
UBR3wt (50),CORUM,CERF complex (CECR2-containing remodeling factor complex) (human),0.004993807445783005,0.01904395149596871,2157.6,1,SMARCA1
UBR3wt (50),CORUM,Remodeling and spacing factor (RSF) complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,SMARCA5
UBR3wt (50),CORUM,SNF2L-RSF1 complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,SMARCA1
UBR3wt (50),CORUM,WCRF complex (human),0.004993807445783005,0.01904395149596871,2157.6,1,SMARCA5
