Gene Symbol,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio,frac_remaining_15h,decay_k_per_h,halflife_h
STRIP2,1.0215537006401394,0.9784462993598606,0.7082842397769374,0.7751055123108681,0.7722154421257923,0.5676860219335117,0.6910013920546917,0.6794013251042272,0.6852013585794594,0.024920887086395796,27.813904784245473
STRN,1.0681807726714578,0.9318192273285422,0.9547051652022953,0.9523088649231324,0.9859834384206161,0.955481536159614,1.0124806131422475,1.0028115246374818,1.0076460688898647,-0.0009517423663079466,inf
STRN3,1.0212384776320684,0.9787615223679318,1.0269685994440703,0.9952053203117248,0.9533084027286205,0.8468827756873548,0.9110036155691453,0.9063588730840664,0.9086812443266059,0.00809046500268029,85.67457869607156
STRN4,1.0110390605605872,0.988960939439413,0.9270591288008375,0.9821295711702497,0.9738733147596577,0.9418782251283082,0.9104807781717796,0.9591754295282642,0.9348281038500219,0.0039860911544488,173.89145247878665
STT3A,0.9643682285198224,1.0356317714801775,0.9136197433868091,0.8166719258213335,0.7382700393499162,0.7161491390084567,0.6229011882453017,0.6208015768205607,0.6218513825329313,0.031909759576012144,21.72210601928233
STT3B,0.9884706374065173,1.0115293625934827,0.9778020731962894,0.939293184649338,0.8296671028353996,0.8437855174174864,0.8101074430402113,0.8442752909641066,0.8271913670021589,0.014107084245366526,49.134687828039986
STUB1,0.9971719687981746,1.0028280312018254,0.843520122886935,0.8401767637857355,0.7639246651372524,0.7643164675379612,0.6569452397307658,0.6773934953041112,0.6671693675174385,0.02622693623201457,26.42882776806533
STX10,0.9453466012136112,1.054653398786389,0.854059860806317,0.8714779207018136,0.8027493561786796,0.8569035069327835,0.8295967447009795,0.8465897525313953,0.8380932486161874,0.011299133783960389,61.345160948877144
STX12,0.9980840616729715,1.0019159383270286,0.9704692228742917,0.9431132651372998,0.9380840687540927,0.9247718682334961,1.0075613978653157,1.03278772613392,1.0201745619996179,-0.0006581547540065976,inf
STX16,1.0465155733751708,0.9534844266248294,1.0097183484637948,1.0652106454670864,1.1176590305174927,1.2173354698975511,1.2357353701272757,1.3095080914150425,1.2726217307711591,-0.016855083008452544,inf
STX17,1.0329662325629312,0.9670337674370686,0.8734444984043791,0.8559331855217436,0.8734208032097883,0.8948530133643148,0.8140521145211465,0.7717965223960225,0.7929243184585845,0.013465935673417846,51.474119390621944
STX18,0.9971153031377847,1.0028846968622154,0.9495510594805481,0.9015418421351966,0.8176830703439489,0.8606113913749854,0.7908528057943685,0.7728837167319519,0.7818682612631602,0.0167276318385657,41.4372570636023
STX1A,1.0197660846596301,0.9802339153403699,0.8124428090485015,0.6436716029866056,0.5138186254483096,0.4973494124851051,0.4764434474384312,0.4672739931826379,0.47185872031053455,0.05221635896676548,13.274521515395543
STX2,0.9922031043243755,1.0077968956756245,0.9768081357273367,1.065739275530166,1.0601544880708946,1.0434656317691462,1.019216060416745,1.128935117728889,1.074075589072817,-0.004818665810934273,inf
STX3,0.9815969569228213,1.0184030430771787,0.8127111276533636,0.8020527554558783,0.7262248320663905,0.7546046098072281,0.7171843748834013,0.6455706274389336,0.6813775011611674,0.02482609308065788,27.920107215741464
STX4,1.0279733308191268,0.9720266691808732,0.9732749208400371,0.9444479143267963,0.9427988571819752,0.998311332711529,0.9590782145130384,0.9318333622872786,0.9454557884001585,0.003111523226077542,222.7677989836967
STX5,1.0275442613260881,0.972455738673912,0.8962701931860362,0.8099662184043971,0.726136914865306,0.7120199579515646,0.6745974544050962,0.6746509563575904,0.6746242053813434,0.026987098740157422,25.684390427953872
STX6,0.9845842432460543,1.0154157567539457,0.688516592543118,0.6692532683311456,0.512195511380525,0.5105300047601432,0.38555853055387684,0.3889763309241245,0.38726743073900066,0.06257730291890093,11.076654765039198
STX7,1.0045248394297306,0.9954751605702695,1.0213663039642966,0.9079187406188546,0.9656510601476387,0.9632305027376407,1.0567014158564731,1.0484658218888936,1.0525836188726834,-0.0031054578147684986,inf
STX8,0.9289896297554665,1.0710103702445333,0.8788614890098903,0.8344776094597269,0.7835127881633482,0.8743753616439425,0.7831937828271672,0.7875378047105808,0.785365793768874,0.015026274781909517,46.12901005873002
STXBP1,0.9486616289040262,1.0513383710959738,0.967973858829267,0.9295868220653031,1.0046065129311759,0.9645250538829687,0.9976481916371521,0.9234073128590405,0.9605277522480964,0.001641592289820438,422.2407627388185
STXBP2,1.0011766581495078,0.9988233418504922,0.8078692836455675,0.8362432990106775,0.780866189217555,0.783456832975819,0.7479368135036352,0.7208425499030762,0.7343896817033557,0.01952509909070439,35.500315636807315
