gene,Yi_remaining_15h,Yi_decay_k,Li_HEK293T_t_half_h,is_WT_best_hit
GTSE1,0.215841405538209,0.0993375970341713,10.04,False
GZF1,0.5518382473156,0.0387357596977563,18.18,False
HAUS1,0.8763330992718035,0.0052998399160917,16.38,False
HAX1,0.5803743253801761,0.0367611048814094,22.27,False
HDAC1,0.6455217854072095,0.0258224121364212,18.71,False
HDAC2,0.7619998382384966,0.0155674131666537,20.57,False
HDAC3,0.774840062432228,0.015795491848419,29.94,False
HES1,0.2907462931967717,0.081464063097711,0.79,False
HIF1AN,0.5702695219754333,0.0360976298580462,12.37,False
HIVEP1,0.6529325734652525,0.0257702382143254,17.73,False
HJURP,0.261848042497604,0.0841674261603594,12.25,False
HLTF,0.6764470924741071,0.0243514048364545,17.99,False
HLX,0.0987383819874843,0.1559176949034835,1.7,False
HMCES,0.4588924857235395,0.0495920474281624,21.59,False
HMG20B,0.3443005801587848,0.0658551455199724,14.52,False
HMGXB3,0.3552283831440558,0.0673061103736918,10.05,False
HMMR,0.2817437011298846,0.0805450234139622,11.65,False
HOXA10,0.3979547680921462,0.0649197996309223,19.86,False
HOXC10,0.3847154774275003,0.0658982318981283,15.73,False
HOXC9,0.2087329388781952,0.1065968095272283,6.11,False
HSF2,0.3197048159608162,0.0731804474692259,2.09,False
HSPB1,0.6444827316212176,0.0283128075500563,15.81,False
HYOU1,0.7025721787209467,0.0238216166101661,7.8,False
ICE2,0.7543117073225338,0.0194416939640674,28.38,False
IFRD1,0.3668184344399678,0.0661071971956196,19.11,False
IFRD2,0.6753168478246547,0.0257270754014655,32.06,False
IFT20,0.4591480934491454,0.0533223930518751,32.06,False
IFT57,0.4033081393536979,0.0595559023405367,19.86,False
IFT74,0.6861634818721598,0.0238015914852706,28.35,False
IFT81,0.4408865504094499,0.0522879313316637,30.03,False
IGFBP2,0.3836687205775328,0.0627184679419013,1.62,False
IK,0.5322944138232089,0.040398546679479,25.4,False
INCENP,0.3253445021427695,0.0741513299035798,8.58,False
ING3,0.6718986164244602,0.026188251219066,18.93,False
ING4,0.8727953273775528,0.0089422933411049,15.5,False
INO80B,0.4382245012981201,0.0542554647635946,10.19,False
INO80C,0.2639542017016429,0.0882861717168378,9.14,False
INO80E,0.5062870329915938,0.0427112150937161,13.39,False
INTS13,0.6440353980205242,0.0288423640754013,29.33,False
INTU,0.670378691532375,0.0269778200397526,11.11,False
IP6K2,0.1386472883277775,0.1129735852063237,1.31,False
IPMK,0.7546925214801729,0.0159136158364944,12.38,False
IPP,0.8854391352124806,0.004204268316282,17.9,False
IREB2,0.4660160127206327,0.0540457867547627,6.53,False
IRF2BP2,0.6024700683669444,0.0330411805393152,17.35,False
IRS2,0.8819090679975041,0.010742491424191,13.94,False
ISY1,0.8664535442409094,0.0088745974722905,23.56,False
ISYNA1,0.5954023826562967,0.0322872929621599,28.73,False
ITGB1BP1,0.1473132921060519,0.1218087089005332,4.37,False
ITM2B,0.2573209265627767,0.0857500076953888,3.41,False
ITM2C,0.4655264519362977,0.0463378015772873,2.3,False
JADE1,0.5022554974374553,0.0443731070174253,14.62,False
JADE3,0.6871321472234395,0.0248763528635082,33.98,False
JAK1,0.3088016652529748,0.075096839538369,7.32,False
JMJD1C,0.6968288712074369,0.0235607660151248,19.62,False
JUN,0.1132548721451445,0.1427357405213638,0.96,False
JUNB,0.1389994395480651,0.1261862084208465,3.25,False
KANK2,0.3633985360339624,0.065328384342965,9.35,False
KANSL1,0.489373280697038,0.0486341630851791,11.82,False
KANSL2,0.580787967842689,0.0353390032926161,10.28,False
KANSL3,0.6284111283042346,0.0299881711241747,10.39,False
KAT6B,0.5687861822360321,0.0369943162504187,26.47,False
KAT7,0.6628661845389081,0.0264390085526689,26.65,False
KCTD10,0.2365065786753986,0.0968663275519514,11.48,False
KCTD13,0.1555481234537104,0.120315863243099,12.04,False
KCTD20,0.1617848114008491,0.1198510208184356,4.63,False
KCTD3,0.5279953974443834,0.0428517012668333,12.79,False
KCTD5,0.697175036794734,0.0245511030730285,13.68,False
KCTD9,0.7091332019197343,0.0202328793547799,23.91,False
KDM1A,0.6790021536811767,0.025760210184232,31.7,False
KDM1B,0.6672114815380497,0.027537870015067,13.85,False
KDM3A,0.4463715908994815,0.0528210500922935,10.44,False
KDM4A,0.332336118055509,0.0720690102861266,8.91,False
KDM4B,0.7417320756131567,0.0184725842115605,11.86,False
KDM5A,0.3121365365883507,0.076648450614769,16.58,False
KDM5B,0.457661336474395,0.0496867349417338,3.83,False
KDM5C,0.5248351191765723,0.0395838833502237,12.05,False
KIAA0586,0.2494927968472372,0.0920612062443789,4.91,False
KIAA1191,0.5813694076703686,0.038813261962971,13.1,False
KIAA1586,0.4991075621056904,0.0438019869122603,6.9,False
KIAA1671,0.7198302302027246,0.0219561038319726,31.45,False
KIF11,0.5168800840195558,0.0436894216607782,27.86,False
KIF14,0.7323692850770099,0.0203787858422898,30.45,False
KIF18A,0.2521748744506736,0.0889202103321667,4.15,False
KIF18B,0.3143792887618031,0.0729049825811531,9.02,False
KIF20A,0.2943351972783122,0.0811193367288111,4.57,False
KIF20B,0.3448842329256065,0.0697950182485579,9.9,False
KIF22,0.2295816806571981,0.0965369310797489,10.86,False
KIF24,0.2570925364986466,0.092255994775719,9.13,False
KIF2C,0.5872505400467505,0.03543382580058,13.17,False
KIF3A,0.6778971225062429,0.0257817823851944,26.07,False
KIF7,0.7016412987575834,0.0226500824680423,30.7,False
KIFC1,0.2535012058700699,0.0915965511193617,12.48,False
KIZ,0.5353875480186276,0.0413563462060437,19.51,False
KLF5,0.0621541904290102,0.1741383583117813,1.58,False
KLHDC10,0.3534058798994359,0.066949224561678,7.17,False
KLHDC2,0.455915791525164,0.0501396788840251,3.92,False
KLHL11,0.2809217044751513,0.0853912148965165,9.1,False
